time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.785624832,434797.9675709975,7767722.8540821895,43.22852640317585,0.030601877486012927,43.43420146407084,0.008567563853449613,-0.0029710047036535766,1,0.20567506089498977,0.17507318340897685,51.0,Shrub
2022-12-05 00:54:30.796841728,434790.6231905545,7767802.540681419,43.11175116403203,0.030796035300909574,43.2961181940251,0.009222804698352268,-0.0044052021121631915,1,0.1843670299930693,0.15357099469215973,52.0,Shrub
2022-12-05 00:54:30.798247936,434789.70620222925,7767812.508763201,43.06203082070853,0.033746878874655724,43.263559428589616,0.010090119994917008,-0.003929799921547092,1,0.2015286078810874,0.16778172900643168,52.0,Shrub
2022-12-05 00:54:30.805298688,434785.0985964681,7767862.304084891,42.9497624751576,0.020054330129730624,43.139508531017405,0.00911157556176906,-0.0037641651352858527,1,0.18974605585980697,0.16969172573007635,51.0,Shrub
2022-12-05 00:54:30.808123648,434783.22504111566,7767882.222180689,42.900314594198846,0.04977995536462288,43.0985399362345,0.012434336654259434,-0.0024095789637554334,1,0.19822534203565567,0.1484453866710328,51.0,Shrub
2022-12-05 00:54:30.819426304,434775.49255047453,7767961.8718596,42.68625240486365,0.03592592181230261,42.88732498179456,0.010882315755030481,-0.0014348550022891659,1,0.20107257693091185,0.16514665511860924,51.0,Shrub
2022-12-05 00:54:30.825068288,434771.4675704106,7768001.681639637,42.6299184226833,0.012289178742212248,42.806252891673594,0.010113523911111784,-0.0029174055789094257,1,0.17633446899029082,0.16404529024807857,51.0,Shrub
2022-12-05 00:54:30.826476800,434770.45834888914,7768011.640961499,42.61234843208564,0.018329545056711274,42.79944297298364,0.010177615837321009,0.0009045773689444887,1,0.18709454089800204,0.16876499584129076,51.0,Shrub
2022-12-05 00:54:30.829291264,434768.4454713905,7768031.545853721,42.60619032911249,0.029599129425203614,42.79382244677129,0.010780875802916782,-0.0023482408056116648,1,0.18763211765879362,0.15803298823359,51.0,Shrub
2022-12-05 00:54:30.830694400,434767.44363201247,7768041.491519811,42.576487184582376,0.007415398824830735,42.7807467888395,0.00950963784057199,-0.002384539510004993,1,0.20425960425712475,0.19684420543229403,51.0,Shrub
